search_name,uuid,occurrenceid,catalognumber,family,genus,scientificname,country,stateprovince,geopoint.lon,geopoint.lat,datecollected,collector,recordset,year
Solanum argentinum,a8527859-15d3-4970-88b7-3bf9d9d9a97b,http://n2t.net/ark:/65665/33581c900-e7f8-453e-9afd-51f55f5972ca,us 2123935,solanaceae,solanum,solanum argentinum,argentina,córdoba,-64.48,-30.2,1946-12-17,t. villafañe,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1946
Solanum argentinum,ba027cb4-93ff-4035-9d3e-8e93d8f1704c,http://n2t.net/ark:/65665/3d74652a9-d479-4736-8d3b-36aa63111767,us 3248548,solanaceae,solanum,solanum argentinum,bolivia,tarija,-64.67,-21.82,1973-05-08,j. c. solomon,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1973
Solanum argentinum,bc0fb291-3041-4038-a868-666d787968fa,http://n2t.net/ark:/65665/3ec23cb57-7655-442d-9e6b-7e02261a0e53,us 2172783,solanaceae,solanum,solanum argentinum,argentina,salta,-64.15,-25.17,1946-12-11,m. alvarez,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1946
Solanum argentinum,c4cefff3-4614-47ca-9b93-9bd8e5459acd,http://n2t.net/ark:/65665/33b916503-e0f3-4d08-b087-da2b8bb05595,us 1549087,solanaceae,solanum,solanum argentinum,argentina,salta,-65.63,-25.6,1929-11-09,s. venturi,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1929
Solanum argentinum,c5e7b7dc-bbf2-4644-8145-a226768f83f1,http://n2t.net/ark:/65665/332aa0c03-ef7e-4081-86cb-de57143d1912,us 3729398,solanaceae,solanum,solanum argentinum,bolivia,santa cruz,-63.4792,-19.2819,2008-05-24,"m. nee, g. parada & g. cabrera s.",a6eee223-cf3b-4079-8bb2-b77dad8cae9d,2008
Solanum argentinum,c61d696b-fd8c-4b6d-8f22-26a8dd04475a,http://n2t.net/ark:/65665/3d8e699ed-d493-4f86-9436-ada957cea572,us 1858382,solanaceae,solanum,solanum argentinum,argentina,formosa,-58,-25.2,1942-10-16,j. cordini,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1942
Solanum argentinum,cebff23a-773c-4214-9926-4340ef57947d,http://n2t.net/ark:/65665/398da3fa0-e09e-4583-85d8-791c5f19af00,us 2049738,solanaceae,solanum,solanum argentinum,argentina,salta,-65.97,-26.08,1951-02-13,k. j. hayward,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1951
Solanum argentinum,d190cc85-1d81-4c14-a7f1-97535358653d,http://n2t.net/ark:/65665/34dd2863a-88ad-43b5-8760-519d046cd2b6,us 3594672,solanaceae,solanum,solanum argentinum,bolivia,santa cruz,-64.1,-18.03,2002-03-31,"m. nee, m. sundue & a. carrasco",a6eee223-cf3b-4079-8bb2-b77dad8cae9d,2002
Solanum argentinum,d853aaaf-a66d-4666-a4ba-c2dd801a7b05,http://n2t.net/ark:/65665/3f99e4602-4c51-4c66-badf-261df685f5ca,us 1904930,solanaceae,solanum,solanum argentinum,argentina,jujuy,-64.83,-24.25,1943-06-01,h. h. bartlett,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1943
Solanum argentinum,e2983a30-b152-4d0d-b624-0beb1415cb4c,http://n2t.net/ark:/65665/3f1c8b8b4-f570-4243-9d02-b99a28ced781,us 2172746,solanaceae,solanum,solanum argentinum,argentina,formosa,-58.67,-25,1949-11-19,i. morel,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1949
Solanum argentinum,e3b99d04-a6e7-4169-b552-187092e91b50,http://n2t.net/ark:/65665/35993f785-3589-4b6e-947c-d93de4cdf6d1,us 1934036,solanaceae,solanum,solanum argentinum,argentina,catamarca,-65.67,-28.17,1944-05-18,s. a. pierotti,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1944
Solanum argentinum,e48b0721-184d-4c17-8351-9d84d2e54d4c,http://n2t.net/ark:/65665/3969d4a41-b098-499c-9578-523ce72e1009,us 3503799,solanaceae,solanum,solanum argentinum,bolivia,tarija,-63.4269,-21.1953,2005-05-29,m. nee,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,2005
Solanum argentinum,e865f8a3-0c7b-4bce-8bc8-375e83090a2b,http://n2t.net/ark:/65665/3084d280c-c53b-4c6a-b6ba-1d8f273f08f7,us 1878036,solanaceae,solanum,solanum argentinum,argentina,santa fé,-62.12,-28.38,1937-12-18,a. ragonese,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1937
Solanum argentinum,ee5b051f-c815-49a3-b03a-59dbb7eff4a8,http://n2t.net/ark:/65665/3c7b91ca4-c201-43f0-a5e3-f71faf7cbb05,us 3227708,solanaceae,solanum,solanum argentinum,argentina,salta,-65.97,-26.08,1986-11-28,a. charpin & l. novara,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1986
Solanum argentinum,ef47cf44-4073-415b-bc51-701a130b2008,http://n2t.net/ark:/65665/3ce57acfe-014b-43b1-9390-666cb5118640,us 1931419,solanaceae,solanum,solanum argentinum,argentina,salta,-64.9,-25.3,1944-05-13,a. m. r. huidobro,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1944
Solanum argentinum,f4993e10-cd2b-4791-81c9-b94190228f11,http://n2t.net/ark:/65665/3b7133375-f217-4e08-a3f7-f3917feb20fb,us 1904659,solanaceae,solanum,solanum argentinum,argentina,santiago del estero,-63.92,-28.25,1943-03-23,h. h. bartlett,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1943
Solanum argentinum,fbcd35cc-aa42-4d12-ace4-e7f4777de2e0,http://n2t.net/ark:/65665/32375c6c2-b499-46ab-9b40-a7c0ad32873f,us 2027271,solanaceae,solanum,solanum argentinum,bolivia,santa cruz,-63.53,-20.05,NA,m. cárdenas,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,NA
Solanum lanceolatum,7dbddcc5-b41b-4040-84fa-4a892330690a,bra:ceplac:cepec:47117,47117,solanaceae,solanum,solanum lanceolatum,colombia,NA,-75.7,6.316667,1977-03-30,j. l. zarucchi,17ff84d1-e3e9-43d1-a746-745ef8d339d0,1977
Solanum mauritianum,7371256a-12f6-41ee-9fe0-b80a367fbdb1,bra:iac:iac:22458,22458,solanaceae,solanum,solanum mauritianum,argentina,2006,-58.5,-27.3333,1971-09-19,s.g. tressens,ca4e7ee9-06f5-4f93-830c-507a6598ec25,1971
Solanum triste,31e6177b-036c-4564-83f8-45b89de0287d,http://n2t.net/ark:/65665/39964208c-d5b1-4491-a64e-12294e9350c6,us 3064485,solanaceae,solanum,solanum triste,venezuela,sucre,-63.92,10.25,1984-10-14,s. knapp & j. mallet,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1984
Solanum triste,5fc27205-6155-4c22-bb11-cd22a24a1a56,http://n2t.net/ark:/65665/3507327e1-629e-4148-ad90-111de93b5cbc,us 3064487,solanaceae,solanum,solanum triste,venezuela,sucre,-63.92,10.25,1984-10-14,s. knapp & j. mallet,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1984
Solanum triste,833787d9-5481-4817-a872-d86253ab3191,http://n2t.net/ark:/65665/3a8c4ae92-12d7-4de8-b605-55f815496ecf,us 3064486,solanaceae,solanum,solanum triste,venezuela,sucre,-63.92,10.25,1984-10-14,s. knapp & j. mallet,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1984
Solanum triste,c65ac5a1-94ba-4947-b998-b3e30a097fb8,http://n2t.net/ark:/65665/3dd753161-38af-48d2-8aae-36a3e2000dd4,us 3064482,solanaceae,solanum,solanum triste,venezuela,sucre,-63.92,10.25,1984-10-14,s. knapp & j. mallet,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1984
Solanum turgidum,34ccb6d8-7c7a-4f47-828c-5e3d39c03577,http://n2t.net/ark:/65665/3ba3eb692-3a87-40a8-ac0d-fa1ca5d07958,us 3064739,solanaceae,solanum,solanum turgidum,venezuela,sucre,-62.68,10.67,1984-10-17,s. knapp & j. mallet,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1984
Solanum turgidum,34fddcfe-d21f-4268-887e-ee73f7ce4818,http://n2t.net/ark:/65665/325d419c9-655f-4b66-8574-cfcb1e839276,us 3064735,solanaceae,solanum,solanum turgidum,venezuela,sucre,-62.68,10.67,1984-10-17,s. knapp & j. mallet,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1984
Spathodea campanulata,eb13d3a7-7ed9-42e1-bc8d-7c45ae3a75ae,339c0876-61e5-42d4-985d-6782cc47c0da,NA,bignoniaceae,spathodea,spathodea campanulata,peru,NA,-73.6468,-4.8991,NA,NA,40250f4d-7aa6-4fcc-ac38-2868fa4846bd,NA
Spongiosperma cataractarum,be42237e-d820-473b-803a-89811f8807c6,http://n2t.net/ark:/65665/38ecd13eb-6522-43f1-8d3a-a579b4aadc9f,us 2438548,apocynaceae,spongiosperma,spongiosperma cataractarum,venezuela,bolivar,-62.871,6.29963,1964-02-15,g. agostini,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1964
Spongiosperma cataractarum,e6eb66b2-a127-4c3a-b3d1-956883bd03b7,e7a81066-a117-41ea-87fc-6b131e397572,v0381381wis,apocynaceae,spongiosperma,spongiosperma cataractarum,venezuela,bolivar,-62.25,5.9,NA,"liesner, ronald; holst, bruce",9e5aede6-bee5-4a3d-a255-513771b20035,NA
Stenopadus chimantensis,14716a0e-ee43-4a9a-b03b-061aeced9e96,http://n2t.net/ark:/65665/3f4887c01-5e1a-4c3e-9025-aa5039402992,us 2990291,asteraceae,stenopadus,stenopadus chimantensis,venezuela,bolivar,-61.97,5.25,1984-02-10,o. huber & m. colella,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1984
Stenopadus chimantensis,543099b3-dce2-4015-92ac-35f24229c3f6,38c6f6f0-0c18-40c4-937b-68ad347dba48,cm337041,NA,NA,stenopadus chimantensis,venezuela,bolivar,-62.2666666666667,5.28333333333333,NA,"huber, o.",db6c3db9-1e6d-4def-af29-33aa0339bfa9,NA
